               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09044,            0.045149,            0.019713,             0.70816,             0.24885,             0.24622,            0.079126,            0.068064,            0.034853,            0.021503,             0.07024,           0.0033067,           0.0033067
                   1,            0.065787,            0.031525,            0.013652,             0.78019,             0.27294,             0.32933,             0.13836,             0.05808,            0.029542,            0.020353,            0.040174,           0.0065743,           0.0065743
                   2,            0.060121,             0.02902,            0.013623,             0.88673,             0.32693,             0.45323,             0.19835,            0.051338,            0.027633,            0.018699,            0.010043,           0.0097759,           0.0097759
                   3,            0.052448,              0.0269,            0.012663,             0.52062,             0.58875,              0.5844,             0.22902,             0.05094,            0.028445,            0.015229,            0.009703,            0.009703,            0.009703
                   4,            0.047374,            0.026671,           0.0098554,             0.68995,             0.54888,             0.62909,             0.28483,            0.043886,            0.027344,           0.0098376,            0.009703,            0.009703,            0.009703
                   5,            0.043198,            0.025697,           0.0075084,             0.76599,             0.65522,             0.71533,             0.40145,            0.040261,            0.026886,           0.0087759,            0.009604,            0.009604,            0.009604
                   6,            0.041216,            0.026096,           0.0065237,             0.79815,             0.65281,             0.73424,             0.37494,            0.042658,            0.026461,           0.0081763,            0.009505,            0.009505,            0.009505
                   7,            0.039564,            0.025174,            0.006147,             0.69098,             0.65214,             0.65108,             0.38338,            0.037768,            0.026227,           0.0080078,            0.009406,            0.009406,            0.009406
                   8,            0.039032,            0.024964,           0.0058121,             0.78455,             0.65878,             0.72932,             0.41185,            0.039102,             0.02665,           0.0075687,            0.009307,            0.009307,            0.009307
                   9,            0.037756,            0.025464,           0.0052666,             0.72855,              0.6623,             0.67239,             0.39307,            0.036994,            0.025904,           0.0070754,            0.009208,            0.009208,            0.009208
                  10,            0.036046,            0.024265,           0.0049557,              0.8098,             0.66496,             0.74256,             0.39449,            0.040055,             0.02665,           0.0075785,            0.009109,            0.009109,            0.009109
                  11,             0.03588,            0.023933,           0.0049992,             0.79365,             0.68171,             0.75296,             0.42301,            0.035117,            0.025756,           0.0067778,             0.00901,             0.00901,             0.00901
                  12,            0.035879,            0.024733,           0.0047873,             0.81692,             0.68434,             0.76559,             0.46403,            0.034702,            0.025179,           0.0068227,            0.008911,            0.008911,            0.008911
                  13,            0.034608,            0.022899,           0.0043527,             0.82581,             0.65497,             0.74674,             0.45195,            0.034248,             0.02601,           0.0076289,            0.008812,            0.008812,            0.008812
